,Dataset,Algorithm,ARI,NMI,NCA,Silhouette,Silhouette_W,Calinski_Harabasz,G_Dunn,Neg_Davies_Bouldin,Neg_WCSS,Battery,median_internal,median_reference
194,ecoli,Genie_g0.1,0.3649311913079514,0.5073216508800759,0.4186813186813187,0.1300746094919524,0.1766525057311977,92.75651643450423,0.2944503833208025,-1.6103058015086686,-788.9449596430748,uci,0.15336355761157505,0.4186813186813187
195,ecoli,Genie_g0.3,0.46493488425153034,0.563208618887053,0.4356643356643356,0.11988477025051356,0.11967209032331903,95.03390362346744,0.3249885750332934,-1.9869686839684024,-776.2821934682281,uci,0.11977843028691629,0.46493488425153034
196,ecoli,Genie_g0.5,0.6611253389168691,0.5901111107837512,0.39887255601541316,0.16320693599823582,0.1904630971786413,82.77970489451512,0.49113555228370065,-1.8041511432521975,-849.6619187044511,uci,0.17683501658843856,0.5901111107837512
197,ecoli,Genie_g0.7,0.5150161751124784,0.5590726186827732,0.5166690452404739,0.2073368516282732,0.2988007226218688,65.48915252424291,0.6239472752635001,-1.0946489102917505,-980.428348095939,uci,0.25306878712507097,0.5166690452404739
198,ecoli,Genie_g0.9,0.05166357597292645,0.17856112688537176,0.24185814185814186,-0.05085020569041484,0.42334826583314816,4.643174186957578,0.6609612026639791,-inf,-2138.773101166537,uci,0.18624903007136667,0.17856112688537176
199,ecoli,Agg_single,0.039863217349138606,0.1523627337326577,0.19879406307977732,0.14455859719669373,0.40861857072312957,4.567983536259128,1.2015138372088334,-inf,-2141.900283391479,uci,0.27658858395991165,0.1523627337326577
200,ecoli,Agg_average,0.7448672490337442,0.7193088191325674,0.4992507492507493,0.3961646923390535,0.39934323544813394,103.78595889817926,0.4627333040938908,-inf,-731.1817900189982,uci,0.39775396389359374,0.7193088191325674
201,ecoli,Agg_complete,0.6161381012135562,0.6511877866045824,0.46728271728271725,0.28591702410202985,0.32082879086314564,102.14679499099668,0.38809033630478795,-1.0661263530792162,-739.225381464278,uci,0.3033729074825877,0.6161381012135562
202,ecoli,Agg_ward,0.48581317266607343,0.634707818570224,0.5217211360068503,0.23576071110213578,0.23104762856755695,137.64055498876178,0.2965565422546909,-1.3077077507873416,-597.0128304119405,uci,0.23340416983484635,0.5217211360068503
203,ecoli,SC,0.19636135871730534,0.3872588120283769,0.38354502640216925,0.07099409865486736,0.3324222449284585,16.20635840261965,0.31621411110539566,-inf,-1746.6123921944354,uci,0.19360410488013152,0.38354502640216925
204,glass,K-means,0.27388540329969263,0.42646327220844904,0.37271796149238234,0.44829060147490696,0.32243088272711157,124.50144615257844,0.08197928517445575,-0.9672965083522261,-0.6853278839373222,uci,0.20220508395078365,0.37271796149238234
205,glass,GMM,0.2626431842163114,0.39204018118799616,0.30314908037764876,0.4069405382157922,0.26287515901873054,103.44353359319324,0.21029928982018034,-1.1532188168057949,-0.7848261124825333,uci,0.23658722441945546,0.30314908037764876
206,glass,Genie_g0.1,0.12413601718438141,0.28481600297312026,0.3948173914267647,0.0039401195719459435,0.1502550595960192,29.155702764899768,0.1395836718419043,-1.6889625835038082,-1.608830782006534,uci,0.07176189570692512,0.28481600297312026
207,glass,Genie_g0.3,0.24588896972380528,0.4069311628227361,0.41718382787988845,0.4152839290951817,0.23272432169761934,79.57019772551722,0.16609652959709698,-1.2995993654777311,-0.9394550371910739,uci,0.19941042564735817,0.4069311628227361
208,glass,Genie_g0.5,0.2185761494753686,0.36868586307923085,0.32453410011219336,0.3907023028478225,0.3046901695261976,67.81291865500418,0.3409026809344097,-1.1759340886401313,-1.0404068734297418,uci,0.3227964252303036,0.32453410011219336
209,glass,Genie_g0.7,0.23083919455108348,0.39078109627209273,0.29605146819302897,0.42783924198022105,0.30479012429144015,64.00629935158959,0.5316526005093624,-1.243556992290231,-1.0779087356493209,uci,0.3663146831358306,0.29605146819302897
210,glass,Genie_g0.9,0.027359557657553824,0.10668828522671937,0.04982549211224345,0.3603153651437042,0.6941771210365011,13.464204612481224,1.3918012838243412,-inf,-2.0672949588901015,uci,0.5272462430901026,0.04982549211224345
211,glass,Agg_single,0.014862766191148869,0.07241383329637892,0.06251958366295937,0.45019023344428943,0.7096434447036918,10.965780171732236,1.985927317561259,-inf,-2.165552422864845,uci,0.5799168390739906,0.06251958366295937
212,glass,Agg_average,0.019783168150707933,0.11445030908098336,0.08257403012393941,0.4430251613039738,0.6026451656555231,22.4863840598511,1.1034883442881398,-inf,-1.7762580036402826,uci,0.5228351634797485,0.08257403012393941
213,glass,Agg_complete,0.2306919813111045,0.37893733923897555,0.2799292661361627,0.5703585334160156,0.49562901634550527,99.30205589507771,0.7253473115176718,-0.805625032447296,-0.8078941920864631,uci,0.5329937748807605,0.2799292661361627
214,glass,Agg_ward,0.2620306253377113,0.39462238210984363,0.3441853059339982,0.46219187827543984,0.33082555466148383,118.71116161541005,0.2640994913720523,-0.9817285024457244,-0.7100812661052616,uci,0.29746252301676807,0.3441853059339982
215,glass,SC,0.24339343123542273,0.37515624882243054,0.33069258547106306,0.415305870792326,0.4194820726474992,101.92738703988688,0.17345862549314214,-1.0358531170054135,-0.7931165957828011,uci,0.29438224814273406,0.33069258547106306
216,ionosphere,K-means,0.17760685473768603,0.13485692093441007,0.43587301587301597,0.2959701569705378,0.2787160905989768,118.82649899359944,0.3177314507838914,-1.5134759059461862,-7125.675627874418,uci,0.2873431237847573,0.17760685473768603
217,ionosphere,GMM,0.39420449702955407,0.31449373961801097,0.6482539682539681,0.18129495119205655,0.15116888385986763,36.89812484737719,0.49983042501685554,-2.820328679599682,-8638.497228435386,uci,0.1662319175259621,0.39420449702955407
218,ionosphere,Genie_g0.1,0.2079104537842255,0.1313248899248185,0.4111111111111112,0.24692239910013522,0.21181867672193147,74.97211060616102,0.3768290736028141,-1.8883000833452706,-7862.733888760776,uci,0.22937053791103335,0.2079104537842255
219,ionosphere,Genie_g0.3,0.2079104537842255,0.1313248899248185,0.4111111111111112,0.24692239910013522,0.21181867672193147,74.97211060616102,0.3768290736028141,-1.8883000833452706,-7862.733888760776,uci,0.22937053791103335,0.2079104537842255
220,ionosphere,Genie_g0.5,-0.04452639486444035,0.06600006717041446,0.14857142857142858,0.23610736618862027,0.34105412248391115,50.14209561592261,0.6765559381900801,-1.2884104736385635,-8351.862453416239,uci,0.2885807443362657,0.06600006717041446
